Metro Propensity,BRT Propensity,BikeShare Propensity,Wealth,Sustainability,Population,Congestion,Sprawl,Network Density
0.0670097041,0.0663061278,0.3729717253,0.1270748681,0.3484844378,0.1415377874,0.6548141185,0.1666442412,0.4621941303
0.0753995572,0.0553380528,0.3358268225,0.020477306,0.2228726039,0.1819473354,0.6974849412,0.4120888732,0.3717773893
0.0700882048,0.0356451565,0.3511398263,0.0386662212,0.3312692906,0.2886455668,0.6885023623,0.3893152099,0.4038907783
0.070957411,0.0346397196,0.3549108758,0.0465496204,0.3430865396,0.1929954002,0.6883720981,0.5946891753,0.1599399119
0.0519557635,0,0.4163743445,0.0176970937,0.293120897,0.209464561,0.6997162266,0.1840012611,0.5501401582
0.3259768722,0.483212497,0.4535887631,0.8424356153,0.6386406147,0.0572962394,0.2780348803,0.2405979462,0.3709691331
0.3564581292,0.1640287858,0.4849391813,0.7503619489,0.5401856833,0.0354502955,0.2043390804,0.1934882322,0.5086047493
0.0439382594,0.2505812293,0.3195987132,0.7713624941,0.3551129756,0.0352218973,0.4642007302,0.3436981893,0.195751895
0.073273009,0.0604788317,0.3618886616,0.1080238859,0.2906996983,0.1243887237,0.6857849153,0.2769123705,0.3652842344
0.0362202508,0.0109145588,0.3431610039,0,0.2736455259,0.2483983023,0.6554640043,0.2756052615,0.4103117074
0.1315630644,0.2236391739,0.3724043149,0.0985092106,0.168189418,0.6743591445,0.6630950015,0.5069624633,0.370038064
0.1171471215,0.0800046482,0.351040874,0.0708007655,0.3093488036,0.2943065612,0.7314310725,0.4076210722,0.3607122669
0.2683797723,0.1105632013,0.3932884759,0.2427124117,0.3096287768,0.1169999512,0.5569348541,0.606684549,0.1867937158
0.7753071412,0.1935714187,0.4293593461,0.9804803924,0.4462188391,0.0019037902,0.4176239599,0.0879808151,0.2806021162
0.0840738151,0.0792759624,0.4188751334,0.0642513862,0.2960237738,0.688797463,0.5915941094,0.329516255,0.3593647985
0.0588057568,0.1490642957,0.4097234279,0.0791063344,0.3051125746,0.4257794333,0.5448014474,0.3462300681,0.4355196766
0.1681112719,0.1493248014,0.3203220622,0.3893033523,0.3834120244,0.0999534427,0.4851828885,0.3424384521,0.3534690858
0.0845584643,0.0779388163,0.3833965253,0.1175186783,0.2847188006,0.1542053304,0.6761260701,0.3496918926,0.487926297
0.1711307441,0.4161899448,0.423312909,0.2507158042,0.3544006988,0.3126366471,0.702787371,0.2401002477,0.933791114
0.0056076828,0.0931026339,0.387017178,0.3152293791,0.2772311655,0.0715480599,0.5025539472,0.089897467,0.9100698311
0.2237993555,0.0746149399,0.4111688459,0.1999303674,0.1107772394,0.4527494978,0.6374680487,0.1850151903,0.8352774162
0.0851120185,0.0550320124,0.4035977438,0.1478191062,0.3967684677,0.128552671,0.6267010484,0.2220689647,0.2358747755
0.0863391017,0.0568312895,0.379252189,0.1643360405,0.3559385816,0.0967642738,0.649276111,0.2614111635,0.1349648388
0.3018249315,0.0865067877,0.4570274999,0.42428836,0.4428640367,0.043229342,0.5845378791,0.3475001981,0.4212885015
0.0928085572,0.0818045563,0.5095064088,0.3882345177,0.4925328735,0.0444966578,0.5409400082,0.3127592591,0.3305748566
0.367093609,0.1518524104,0.4198702708,0.5040627723,0.4831863372,0.0964244438,0.5101700649,0.1967469472,0.3937601308
0.0639185048,0.1194991915,0.4168213511,0.4615356045,0.4630505152,0.0891244989,0.3845510834,0.2460934511,0.3390158027
0.1531657127,0.1500512425,0.3370519333,0.5038794318,0.2374847901,0.0172065872,0.4558859168,0.4418052621,0.5682192946
0.4593900801,0.0586838474,0.4959131135,0.3551894608,0.4512096851,0.0733978135,0.7853790319,0.2865130299,0.3975987737
0.7138832352,0.1198022057,0.4440291957,0.4567068615,0.2729507306,0.2287949308,0.7581251451,0.7050808148,0.5719726937
0.5055729021,0.1236846031,0.4673793156,0.3831080702,0.2849651557,0.0783693077,0.6521894957,0.7382497365,0.4106891005
0.2400030477,0.1133858315,0.4240061503,0.2817717656,0.27245684,0.0426319472,0.5315126595,0.666205909,0.3771724257
0.1961352358,0.1143074306,0.4153555557,0.2963043408,0.379869478,0.0399980632,0.5036758302,0.6512549167,0.3577068902
0.2271526333,0.1176456301,0.4027799988,0.3168266491,0.2617070175,0.0337368402,0.4844997354,0.646406128,0.3940525878
0.2046341844,0.1165797368,0.3959759968,0.308220019,0.2699384206,0.0399776581,0.5313816674,0.6423634155,0.3288766396
0.2146043908,0.1144561371,0.4282517061,0.2858117682,0.2817751822,0.0397927158,0.5970109397,0.6536188307,0.3259725714
0.1069563509,0.0446856177,0.3469976016,0.0332876542,0.3802209212,0.2346698666,0.7398161083,0.4631616399,0.2587284637
0.0129650751,0.113289489,0.4235776298,0.4258933553,0.2765185197,0.2613876239,0.219632322,0.8255404383,0.6285252609
0.1350912277,0.1262762789,0.391435404,0.3109161317,0.2604052702,0.0880743786,0.5274525844,0.7706852455,0.4029588196
0.0676311906,0.1232720424,0.3873685843,0.310008337,0.2590295313,0.0760249273,0.5266767163,0.7700974239,0.4297348946
0.0718209578,0.1126662395,0.3795064544,0.3626044361,0.2802540774,0.1801967481,0.3575336923,0.8242445702,0.4089526857
0.1120832229,0.0632992503,0.3426684655,0.0773851292,0.3026309199,0.2646108602,0.7395531444,0.2641853705,0.3730301462
0.093764638,0.0676605,0.4106994233,0.3163085897,0.5023131494,0.0610975468,0.4765727544,0.3061415092,0.2267276454
0.0676158634,0.0178289237,0.3507731526,0.0169731313,0.2685166759,0.1866030953,0.6910866151,0.3972036004,0.222406365
0.685698,0.145779858,0.3703323686,0.7853098829,0.490241381,0.1201797727,0.5042029983,0.3512901643,0.2744015097
0.1406819017,0.108812851,0.4155100399,0.5131791902,0.4699110991,0.0285102186,0.4860237749,0.3034032138,0.2436789632
0.0722830708,0.03218041,0.3406468879,0.0348273334,0.3062026686,0.2584178661,0.6878135062,0.1246174816,0.3818091229
