City,cityID,clusterID,Country,modeCar,modePT,modeBike,modeWalk,gasPrice,rdDeath,subLen,subLenD,subStPHK,subRidPC,subAge,BRTLen,BRTLenD,BRTStPHK,BRTFlPHK,BRTRidPC,BRTAge,bsSt,bsStPHK,bsBikes,bsBikPHK,bsAge,congest,AMPeak,PMPeak,TI,TTI,inefInd,pop,land,popDen,poCh9000,poCh0010,poCh1020,poCh2025,ur15,urCh1525,GDPPCP,unemploy,costLiv,rent,grocery,restaPri,locPurPo,gini,poverty,lifeExp,safety,internet,digital,innovat,smartphon,CO2EmsPC,polluI,stLenT,stLenD,stLenAvg,intersT,intersD,k_avg,stPerNode,circuity,loopP,highwayP
Zurich,239,13,Switzerland,42.92,46.31,4.14,5.65,1.68,1.6,0,0,0,0,0,11,0.044715447,3.396226415,2.13836478,5.283018868,11,0,0,0,0,0,31,48,63,88.85,34.38,62.87,795000,246,3200,72276,104816,122443,68304,73.9,1.2,56666,4.2,130.84,67.54,126.92,135.8,152.73,,,80.93,82.88,86.7,0.76,46,,6.7,14.07,1252653.734,7359619488,128.1225052,5826,5875.222569,4.656981664,2.774188999,1.057691276,0.002544067,0.02520598
Aleppo,240,2,Syria,,,,,0.44,22.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3665000,259,14200,649760,864309,997253,559590,57.7,4.1,1821,,,,,,,,30.8,64.5,,25.9,0.28,,,1.866465075,,4142305.08,4045982370,109.0424629,22555,976.7465919,5.640947898,3.032913109,1.033903057,0.000480919,0.003452894
Damascus,241,2,Syria,,,,,0.44,22.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2605000,181,14400,371849,518784,801887,472593,57.7,4.1,1821,,29.46,7.46,25.47,26.16,18.27,,30.8,64.5,42.5,25.9,0.28,,,1.866465075,,4944928.4,4675720974,147.148591,20329,945.5588829,5.06786118,2.816678528,1.069149868,0.001239096,0.007825788
Taipei,242,12,Taiwan,47,34,3,15,0.98,12.7,131.1,0.115,1.376470588,84.41176471,21,60,0.052631579,1.764705882,19.76470588,42.35294118,20,196,2.305882353,6046,71.12941176,2,40,59,80,106.52,30.81,98.28,8500000,1140,7500,-106911,23679,347143,308653,,,46102,5.2,66.23,21.53,79,31.18,123.14,,1.67,82.515,82.91,84,0.79,44,,11.73,50.52,5554580.146,4835863211,169.7143251,18815,870.608234,4.897020725,3.031828275,1.144234477,0.00081244,0.027784596
Kaohsiung,243,12,Taiwan,,,,,0.98,12.7,42.7,0.117630854,1.456692913,24.13385827,9,0,0,0,0,0,0,119,4.68503937,1275,50.19685039,1,,,,,,,2540000,363,7000,115931,25866,208388,187249,,,40534,,51.95,10.86,56.97,23.77,102.07,,,79.98,,84,0.79,36,,11.73,,45573954.43,42772346.71,170.6499805,158606,0.938526122,5.296054571,2.707666189,1.11811709,0.00281981,0.006589115
Taichung,244,1,Taiwan,46,34,4,15,0.98,12.7,0,0,0,0,0,17,0.034552846,0.833333333,1.26984127,5.952380952,4,0,0,0,0,0,38,44,71,,,,2520000,492,5100,213227,161727,264430,158859,,,41877,,,,,,,,,79.98,,84,0.79,32,,11.73,87.28,6891629.065,5958440332,164.1372107,23589,864.5909807,5.239317767,3.009082133,1.066113573,0.000327582,0.019287506
Dar es Salaam,245,3,Tanzania,6.8,57.6,1,33.6,0.98,32.9,0,0,0,0,0,21,0.035234899,0.605381166,3.139013453,10.76233184,2,0,0,0,0,0,,,,,,,4460000,596,7500,800295,1298781,2262213,1598862,31.6,7,2667,,57.08,32.02,45.72,37.57,37.09,0.32,15.5,61.8,32.04,14.5,0.15,24,11,0.214118777,79.57,12232681.99,1817210481,143.0538994,49358,148.5537253,5.162345481,2.605895712,1.090273912,0.000761768,0
Bangkok,246,7,Thailand,60,30,1,,1.13,36.2,79.5,0.030694981,0.444009141,20.31341822,18,15,0.005791506,0.078354554,0.130590924,0.293829579,8,55,0.359125041,625,4.080966373,6,61,91,118,243.73,49.23,330.13,15315000,2590,5900,472104,1852884,2052122,969588,50.4,10,19705,2.2,50.39,25.39,54.89,25.71,49.84,0.4,7.7,71.5,52.15,34.9,0.48,42,,4.493869484,73.24,19931445.55,3672238659,131.228943,81525,184.2434684,4.532194564,2.409806007,1.066253526,0.001513177,0.015092367
Lome,247,3,Togo,,,,,0.94,31.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1735000,207,8400,341755,549318,698036,320519,40,5.1,558.1,,,,,,,0.3,34.6,59.9,,5.5,0.18,,,0.321781847,,4124167.355,3275129881,104.9726979,23292,794.1311784,5.70935209,2.92605411,1.027425643,0.00018251,0
Tunis,248,2,Tunisia,29,19,,50,0.76,24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2240000,440,5100,67497,66042,157813,83395,66.8,2.4,4265.4,,31.54,7.37,29.09,21.98,38.34,0.38,,75.3,63.63,52.1,0.41,27,,2.541451798,70.75,61551977.29,175561353.9,188.4542268,197058,2.85224556,5.508103832,2.885414871,1.085643248,0.000834528,0.008995584
Istanbul,249,7,Turkey,14,41,,45,1.46,4,95.3,0.070073529,0.539940828,28.46893491,28,52,0.038235294,0.325443787,3.069526627,16.64201183,11,10,0.073964497,100,0.73964497,6,49,63,91,266.75,56.53,272.3,13520000,1360,9900,2191708,2209082,2838050,1105795,73.4,4.3,24867,11.2,49,16.93,41.37,36.65,57.25,,8.86,71.75,50.53,46.3,0.48,44,59,4.243452638,65.96,9046675.21,9446073481,74.6000644,73930,1044.148625,5.290052822,3.003822507,1.055690632,0.000855876,0.016210071
Ankara,250,2,Turkey,,,,,1.48,7.5,64.3,0.097424242,1.056034483,22.43534483,20,0,0,0,0,0,0,0,0,0,0,0,33,43,54,143.69,37.4,132.09,4640000,660,7000,618147,894608,1155562,472963,73.4,4.3,21076,12.1,43.76,8.89,38.48,32.37,68.66,,,75.8,55.37,46.3,0.48,37,59,4.243452638,72.04,7068465.131,7262582756,105.8771608,40484,1027.462486,5.495291647,3.018133369,1.057404464,0.000862962,0.011222117
Izmir,251,1,Turkey,,,,,1.47,8.3,0,0,0,0,0,0,0,0,0,0,0,29,0.914826498,,,2,30,39,52,183.43,44.56,241.96,3170000,298,10600,474714,626229,831137,346022,73.4,4.3,19886,,43.45,9.66,37.09,32.15,59.19,,,75.8,72.15,46.3,0.48,37,59,4.243452638,65.31,6039888.052,6074998396,81.68523623,45313,1005.813079,5.756201479,3.029701551,1.069905362,0.000491082,0.015340586
